Angle	RealHeight	Ref. Height	Distortion
0	0	0	0
2.14	0.02416573	0.02801045	0.0001
4.28	0.049949451	0.05609923	0.0003
6.42	0.076842529	0.08434555	0.0007
8.56	0.104487393	0.11283041	0.0013
10.7	0.132655938	0.14163751	0.002
12.84	0.161229198	0.1708543	0.0028
14.98	0.190178285	0.20057305	0.0036
17.12	0.219546585	0.2308921	0.0045
19.26	0.249433232	0.26191721	0.0054
21.4	0.279977833	0.29376321	0.0061
23.54	0.311346467	0.32655578	0.0067
25.68	0.343718947	0.36043367	0.0071
27.82	0.377277343	0.39555125	0.007
29.96	0.412195777	0.43208161	0.0065
32.1	0.448631474	0.47022028	0.0052
34.24	0.486717086	0.51018985	0.0031
36.38	0.526554279	0.55224558	-0.0001
38.52	0.568208577	0.5966824	-0.0045
40.66	0.611705484	0.64384378	-0.0104
42.8	0.657027861	0.69413291	-0.0182
44.94	0.704114571	0.74802705	-0.0279
47.08	0.75286039	0.80609621	-0.0399
49.22	0.803117181	0.86902767	-0.0544
51.36	0.854696334	0.93765855	-0.0717
53.5	0.907372471	1.01301998	-0.0919
55.64	0.960888413	1.0963976	-0.1153
57.78	1.014961419	1.18941626	-0.1421
59.92	1.06929068	1.29416081	-0.1723
62.06	1.123566088	1.41335239	-0.2061
64.2	1.177478259	1.55061247	-0.2436
66.34	1.230729835	1.71087015	-0.2849
68.48	1.283048033	1.90101242	-0.33
70.62	1.334198477	2.13096531	-0.3791
72.76	1.384000283	2.41558016	-0.432
74.9	1.43234241	2.77812389	-0.4889
77.04	1.479201283	3.25722718	-0.5497
79.18	1.524659673	3.92207792	-0.6144
81.32	1.567261128	4.91008992	-0.683
83.46	1.607683517	6.53852636	-0.7555
85.6	1.646590559	9.74186105	-0.8317
87.74	1.683042877	18.99397071	-0.9116
89.88	1.713981247	214.7423788	-0.992
92.02	1.74904691	-21.25289813	-1.0823
94.16	1.78040099	-10.30604675	-1.1728
96.3	1.80867954	-6.78974979	-1.2664
98.44	1.83352705	-5.0518427	-1.3629
100.58	1.85456816	-4.01317446	-1.4621
102.72	1.87142365	-3.32081156	-1.5635
104.86	1.88372762	-2.82512224	-1.6668
107	1.89114136	-2.45181593	-1.7713
